Orthogroup	NBI_Gossypium_hirsutum_v1.1	Zea_mays.B73_RefGen_v4
OG0000000	 Gh_A09G0676	 Zm00001d021729
OG0000000	 Gh_A06G1786	Zm00001d021727
OG0000000	 Gh_A06G1786	 Zm00001d021729
OG0000000	 Gh_D06G2193	Zm00001d021727
OG0000000	 Gh_D06G2193	 Zm00001d021729
OG0000000	Gh_D10G0184	Zm00001d043253
OG0000000	Gh_D10G0184	 Zm00001d043256
OG0000000	Gh_D10G0184	 Zm00001d032408
OG0000000	Gh_D10G0184	 Zm00001d021726
OG0000000	Gh_D10G0184	 Zm00001d010700
OG0000000	Gh_D10G0184	 Zm00001d012609
OG0000000	Gh_D10G0184	 Zm00001d043252
OG0000000	 Gh_A10G0169	Zm00001d043253
OG0000000	 Gh_A10G0169	 Zm00001d043256
OG0000000	 Gh_A10G0169	 Zm00001d032408
OG0000000	 Gh_A10G0169	 Zm00001d021726
OG0000000	 Gh_A10G0169	 Zm00001d010700
OG0000000	 Gh_A10G0169	 Zm00001d012609
OG0000000	 Gh_A10G0169	 Zm00001d043252
OG0000001	Gh_A12G1729	Zm00001d039310
OG0000001	Gh_A12G1729	 Zm00001d008987
OG0000001	Gh_A12G1729	 Zm00001d008990
OG0000001	Gh_A12G1729	 Zm00001d008985
OG0000001	 Gh_D12G1841	Zm00001d039310
OG0000001	 Gh_D12G1841	 Zm00001d008987
OG0000001	 Gh_D12G1841	 Zm00001d008990
OG0000001	 Gh_D12G1841	 Zm00001d008985
OG0000001	 Gh_A12G1682	Zm00001d039310
OG0000001	 Gh_A12G1682	 Zm00001d008987
OG0000001	 Gh_A12G1682	 Zm00001d008990
OG0000001	 Gh_A12G1682	 Zm00001d008985
OG0000001	Gh_D10G2445	Zm00001d023625
OG0000001	Gh_D10G2445	 Zm00001d048626
OG0000001	 Gh_A10G2124	Zm00001d023625
OG0000001	 Gh_A10G2124	 Zm00001d048626
OG0000002	Gh_D01G0150	Zm00001d038551
OG0000002	Gh_D01G0150	 Zm00001d038549
OG0000002	 Gh_A01G2043	Zm00001d038551
OG0000002	 Gh_A01G2043	 Zm00001d038549
OG0000002	Gh_D10G0156	Zm00001d021686
OG0000002	Gh_D10G0156	 Zm00001d006793
OG0000002	Gh_D10G0156	 Zm00001d021688
OG0000002	Gh_D10G0156	 Zm00001d035401
OG0000002	Gh_D10G0156	 Zm00001d035400
OG0000002	Gh_D10G0156	 Zm00001d021689
OG0000002	Gh_D10G0156	 Zm00001d006535
OG0000002	Gh_D10G0156	 Zm00001d021692
OG0000002	Gh_D10G0156	 Zm00001d006536
OG0000002	Gh_D10G0156	 Zm00001d013572
OG0000002	 Gh_A10G0157	Zm00001d021686
OG0000002	 Gh_A10G0157	 Zm00001d006793
OG0000002	 Gh_A10G0157	 Zm00001d021688
OG0000002	 Gh_A10G0157	 Zm00001d035401
OG0000002	 Gh_A10G0157	 Zm00001d035400
OG0000002	 Gh_A10G0157	 Zm00001d021689
OG0000002	 Gh_A10G0157	 Zm00001d006535
OG0000002	 Gh_A10G0157	 Zm00001d021692
OG0000002	 Gh_A10G0157	 Zm00001d006536
OG0000002	 Gh_A10G0157	 Zm00001d013572
OG0000002	 Gh_A10G0160	Zm00001d021686
OG0000002	 Gh_A10G0160	 Zm00001d006793
OG0000002	 Gh_A10G0160	 Zm00001d021688
OG0000002	 Gh_A10G0160	 Zm00001d035401
OG0000002	 Gh_A10G0160	 Zm00001d035400
OG0000002	 Gh_A10G0160	 Zm00001d021689
OG0000002	 Gh_A10G0160	 Zm00001d006535
OG0000002	 Gh_A10G0160	 Zm00001d021692
OG0000002	 Gh_A10G0160	 Zm00001d006536
OG0000002	 Gh_A10G0160	 Zm00001d013572
OG0000002	Gh_D08G0400	Zm00001d017806
OG0000002	Gh_D08G0400	 Zm00001d045945
OG0000002	Gh_D01G0258	Zm00001d002167
OG0000003	Gh_D01G0389	Zm00001d039922
OG0000003	Gh_D01G0389	 Zm00001d008586
OG0000003	Gh_D01G0389	 Zm00001d039929
OG0000003	Gh_D01G0389	 Zm00001d039923
OG0000003	Gh_D01G0389	 Zm00001d039921
OG0000003	Gh_D01G0389	 Zm00001d008585
OG0000003	Gh_D01G0389	 Zm00001d011628
OG0000003	Gh_D01G0389	 Zm00001d011629
OG0000003	 Gh_A01G0359	Zm00001d039922
OG0000003	 Gh_A01G0359	 Zm00001d008586
OG0000003	 Gh_A01G0359	 Zm00001d039929
OG0000003	 Gh_A01G0359	 Zm00001d039923
OG0000003	 Gh_A01G0359	 Zm00001d039921
OG0000003	 Gh_A01G0359	 Zm00001d008585
OG0000003	 Gh_A01G0359	 Zm00001d011628
OG0000003	 Gh_A01G0359	 Zm00001d011629
OG0000003	 Gh_A01G0358	Zm00001d039922
OG0000003	 Gh_A01G0358	 Zm00001d008586
OG0000003	 Gh_A01G0358	 Zm00001d039929
OG0000003	 Gh_A01G0358	 Zm00001d039923
OG0000003	 Gh_A01G0358	 Zm00001d039921
OG0000003	 Gh_A01G0358	 Zm00001d008585
OG0000003	 Gh_A01G0358	 Zm00001d011628
OG0000003	 Gh_A01G0358	 Zm00001d011629
OG0000003	 Gh_D01G0388	Zm00001d039922
OG0000003	 Gh_D01G0388	 Zm00001d008586
OG0000003	 Gh_D01G0388	 Zm00001d039929
OG0000003	 Gh_D01G0388	 Zm00001d039923
OG0000003	 Gh_D01G0388	 Zm00001d039921
OG0000003	 Gh_D01G0388	 Zm00001d008585
OG0000003	 Gh_D01G0388	 Zm00001d011628
OG0000003	 Gh_D01G0388	 Zm00001d011629
OG0000003	 Gh_D11G1691	Zm00001d039922
OG0000003	 Gh_D11G1691	 Zm00001d008586
OG0000003	 Gh_D11G1691	 Zm00001d039929
OG0000003	 Gh_D11G1691	 Zm00001d039923
OG0000003	 Gh_D11G1691	 Zm00001d039921
OG0000003	 Gh_D11G1691	 Zm00001d008585
OG0000003	 Gh_D11G1691	 Zm00001d011628
OG0000003	 Gh_D11G1691	 Zm00001d011629
OG0000003	 Gh_A11G1529	Zm00001d039922
OG0000003	 Gh_A11G1529	 Zm00001d008586
OG0000003	 Gh_A11G1529	 Zm00001d039929
OG0000003	 Gh_A11G1529	 Zm00001d039923
OG0000003	 Gh_A11G1529	 Zm00001d039921
OG0000003	 Gh_A11G1529	 Zm00001d008585
OG0000003	 Gh_A11G1529	 Zm00001d011628
OG0000003	 Gh_A11G1529	 Zm00001d011629
OG0000003	 Gh_A11G1522	Zm00001d039922
OG0000003	 Gh_A11G1522	 Zm00001d008586
OG0000003	 Gh_A11G1522	 Zm00001d039929
OG0000003	 Gh_A11G1522	 Zm00001d039923
OG0000003	 Gh_A11G1522	 Zm00001d039921
OG0000003	 Gh_A11G1522	 Zm00001d008585
OG0000003	 Gh_A11G1522	 Zm00001d011628
OG0000003	 Gh_A11G1522	 Zm00001d011629
OG0000003	 Gh_D11G1685	Zm00001d039922
OG0000003	 Gh_D11G1685	 Zm00001d008586
OG0000003	 Gh_D11G1685	 Zm00001d039929
OG0000003	 Gh_D11G1685	 Zm00001d039923
OG0000003	 Gh_D11G1685	 Zm00001d039921
OG0000003	 Gh_D11G1685	 Zm00001d008585
OG0000003	 Gh_D11G1685	 Zm00001d011628
OG0000003	 Gh_D11G1685	 Zm00001d011629
OG0000003	 Gh_D11G1682	Zm00001d039922
OG0000003	 Gh_D11G1682	 Zm00001d008586
OG0000003	 Gh_D11G1682	 Zm00001d039929
OG0000003	 Gh_D11G1682	 Zm00001d039923
OG0000003	 Gh_D11G1682	 Zm00001d039921
OG0000003	 Gh_D11G1682	 Zm00001d008585
OG0000003	 Gh_D11G1682	 Zm00001d011628
OG0000003	 Gh_D11G1682	 Zm00001d011629
OG0000003	 Gh_A11G1521	Zm00001d039922
OG0000003	 Gh_A11G1521	 Zm00001d008586
OG0000003	 Gh_A11G1521	 Zm00001d039929
OG0000003	 Gh_A11G1521	 Zm00001d039923
OG0000003	 Gh_A11G1521	 Zm00001d039921
OG0000003	 Gh_A11G1521	 Zm00001d008585
OG0000003	 Gh_A11G1521	 Zm00001d011628
OG0000003	 Gh_A11G1521	 Zm00001d011629
OG0000003	 Gh_D11G1689	Zm00001d039922
OG0000003	 Gh_D11G1689	 Zm00001d008586
OG0000003	 Gh_D11G1689	 Zm00001d039929
OG0000003	 Gh_D11G1689	 Zm00001d039923
OG0000003	 Gh_D11G1689	 Zm00001d039921
OG0000003	 Gh_D11G1689	 Zm00001d008585
OG0000003	 Gh_D11G1689	 Zm00001d011628
OG0000003	 Gh_D11G1689	 Zm00001d011629
OG0000003	 Gh_A11G1524	Zm00001d039922
OG0000003	 Gh_A11G1524	 Zm00001d008586
OG0000003	 Gh_A11G1524	 Zm00001d039929
OG0000003	 Gh_A11G1524	 Zm00001d039923
OG0000003	 Gh_A11G1524	 Zm00001d039921
OG0000003	 Gh_A11G1524	 Zm00001d008585
OG0000003	 Gh_A11G1524	 Zm00001d011628
OG0000003	 Gh_A11G1524	 Zm00001d011629
OG0000003	 Gh_A11G1525	Zm00001d039922
OG0000003	 Gh_A11G1525	 Zm00001d008586
OG0000003	 Gh_A11G1525	 Zm00001d039929
OG0000003	 Gh_A11G1525	 Zm00001d039923
OG0000003	 Gh_A11G1525	 Zm00001d039921
OG0000003	 Gh_A11G1525	 Zm00001d008585
OG0000003	 Gh_A11G1525	 Zm00001d011628
OG0000003	 Gh_A11G1525	 Zm00001d011629
OG0000003	 Gh_D11G1690	Zm00001d039922
OG0000003	 Gh_D11G1690	 Zm00001d008586
OG0000003	 Gh_D11G1690	 Zm00001d039929
OG0000003	 Gh_D11G1690	 Zm00001d039923
OG0000003	 Gh_D11G1690	 Zm00001d039921
OG0000003	 Gh_D11G1690	 Zm00001d008585
OG0000003	 Gh_D11G1690	 Zm00001d011628
OG0000003	 Gh_D11G1690	 Zm00001d011629
OG0000003	 Gh_D09G1675	Zm00001d039922
OG0000003	 Gh_D09G1675	 Zm00001d008586
OG0000003	 Gh_D09G1675	 Zm00001d039929
OG0000003	 Gh_D09G1675	 Zm00001d039923
OG0000003	 Gh_D09G1675	 Zm00001d039921
OG0000003	 Gh_D09G1675	 Zm00001d008585
OG0000003	 Gh_D09G1675	 Zm00001d011628
OG0000003	 Gh_D09G1675	 Zm00001d011629
OG0000003	 Gh_A09G1585	Zm00001d039922
OG0000003	 Gh_A09G1585	 Zm00001d008586
OG0000003	 Gh_A09G1585	 Zm00001d039929
OG0000003	 Gh_A09G1585	 Zm00001d039923
OG0000003	 Gh_A09G1585	 Zm00001d039921
OG0000003	 Gh_A09G1585	 Zm00001d008585
OG0000003	 Gh_A09G1585	 Zm00001d011628
OG0000003	 Gh_A09G1585	 Zm00001d011629
OG0000003	 Gh_A09G1584	Zm00001d039922
OG0000003	 Gh_A09G1584	 Zm00001d008586
OG0000003	 Gh_A09G1584	 Zm00001d039929
OG0000003	 Gh_A09G1584	 Zm00001d039923
OG0000003	 Gh_A09G1584	 Zm00001d039921
OG0000003	 Gh_A09G1584	 Zm00001d008585
OG0000003	 Gh_A09G1584	 Zm00001d011628
OG0000003	 Gh_A09G1584	 Zm00001d011629
OG0000003	 Gh_D09G0491	Zm00001d039922
OG0000003	 Gh_D09G0491	 Zm00001d008586
OG0000003	 Gh_D09G0491	 Zm00001d039929
OG0000003	 Gh_D09G0491	 Zm00001d039923
OG0000003	 Gh_D09G0491	 Zm00001d039921
OG0000003	 Gh_D09G0491	 Zm00001d008585
OG0000003	 Gh_D09G0491	 Zm00001d011628
OG0000003	 Gh_D09G0491	 Zm00001d011629
OG0000003	 Gh_D09G0492	Zm00001d039922
OG0000003	 Gh_D09G0492	 Zm00001d008586
OG0000003	 Gh_D09G0492	 Zm00001d039929
OG0000003	 Gh_D09G0492	 Zm00001d039923
OG0000003	 Gh_D09G0492	 Zm00001d039921
OG0000003	 Gh_D09G0492	 Zm00001d008585
OG0000003	 Gh_D09G0492	 Zm00001d011628
OG0000003	 Gh_D09G0492	 Zm00001d011629
OG0000003	 Gh_D13G0117	Zm00001d039922
OG0000003	 Gh_D13G0117	 Zm00001d008586
OG0000003	 Gh_D13G0117	 Zm00001d039929
OG0000003	 Gh_D13G0117	 Zm00001d039923
OG0000003	 Gh_D13G0117	 Zm00001d039921
OG0000003	 Gh_D13G0117	 Zm00001d008585
OG0000003	 Gh_D13G0117	 Zm00001d011628
OG0000003	 Gh_D13G0117	 Zm00001d011629
OG0000003	 Gh_D10G1175	Zm00001d039922
OG0000003	 Gh_D10G1175	 Zm00001d008586
OG0000003	 Gh_D10G1175	 Zm00001d039929
OG0000003	 Gh_D10G1175	 Zm00001d039923
OG0000003	 Gh_D10G1175	 Zm00001d039921
OG0000003	 Gh_D10G1175	 Zm00001d008585
OG0000003	 Gh_D10G1175	 Zm00001d011628
OG0000003	 Gh_D10G1175	 Zm00001d011629
OG0000003	Gh_A05G2483	Zm00001d008478
OG0000003	 Gh_D05G2757	Zm00001d008478
OG0000003	 Gh_Sca113517G01	Zm00001d008478
OG0000003	Gh_D11G1683	Zm00001d039924
OG0000003	Gh_D11G1683	 Zm00001d039928
OG0000005	Gh_D05G3056	Zm00001d036947
OG0000005	Gh_D05G3056	 Zm00001d030981
OG0000005	Gh_D05G3056	 Zm00001d009814
OG0000005	 Gh_A05G2753	Zm00001d036947
OG0000005	 Gh_A05G2753	 Zm00001d030981
OG0000005	 Gh_A05G2753	 Zm00001d009814
OG0000007	Gh_D09G0365	Zm00001d003267
OG0000007	Gh_D09G0365	 Zm00001d048965
OG0000009	Gh_D11G1759	Zm00001d032024
OG0000009	Gh_D11G1759	 Zm00001d053220
OG0000009	Gh_D11G1759	 Zm00001d022628
OG0000009	Gh_D11G1759	 Zm00001d006236
OG0000009	 Gh_A11G1601	Zm00001d032024
OG0000009	 Gh_A11G1601	 Zm00001d053220
OG0000009	 Gh_A11G1601	 Zm00001d022628
OG0000009	 Gh_A11G1601	 Zm00001d006236
OG0000009	Gh_A11G2726	Zm00001d011645
OG0000009	 Gh_D11G3078	Zm00001d011645
OG0000009	 Gh_D13G1045	Zm00001d011645
OG0000009	 Gh_A13G0805	Zm00001d011645
OG0000009	 Gh_D11G2407	Zm00001d011645
OG0000009	 Gh_A11G2091	Zm00001d011645
OG0000009	Gh_D03G1676	Zm00001d037118
OG0000009	Gh_D03G1676	 Zm00001d044975
OG0000009	 Gh_A02G1822	Zm00001d037118
OG0000009	 Gh_A02G1822	 Zm00001d044975
OG0000009	Gh_A08G2287	Zm00001d021537
OG0000009	 Gh_D08G2445	Zm00001d021537
OG0000009	Gh_D12G1202	Zm00001d022259
OG0000009	Gh_D12G1202	 Zm00001d029293
OG0000009	Gh_D12G1202	 Zm00001d044538
OG0000009	 Gh_D08G1356	Zm00001d022259
OG0000009	 Gh_D08G1356	 Zm00001d029293
OG0000009	 Gh_D08G1356	 Zm00001d044538
OG0000009	 Gh_A08G1075	Zm00001d022259
OG0000009	 Gh_A08G1075	 Zm00001d029293
OG0000009	 Gh_A08G1075	 Zm00001d044538
OG0000009	 Gh_A11G0958	Zm00001d022259
OG0000009	 Gh_A11G0958	 Zm00001d029293
OG0000009	 Gh_A11G0958	 Zm00001d044538
OG0000009	 Gh_D11G1108	Zm00001d022259
OG0000009	 Gh_D11G1108	 Zm00001d029293
OG0000009	 Gh_D11G1108	 Zm00001d044538
OG0000009	 Gh_D07G1305	Zm00001d022259
OG0000009	 Gh_D07G1305	 Zm00001d029293
OG0000009	 Gh_D07G1305	 Zm00001d044538
OG0000009	 Gh_A07G1204	Zm00001d022259
OG0000009	 Gh_A07G1204	 Zm00001d029293
OG0000009	 Gh_A07G1204	 Zm00001d044538
OG0000009	Gh_A13G2222	Zm00001d028777
OG0000009	 Gh_D13G0946	Zm00001d028777
OG0000009	Gh_D12G1271	Zm00001d028850
OG0000009	Gh_D12G1271	 Zm00001d028845
OG0000009	Gh_D12G1271	 Zm00001d028849
OG0000009	Gh_D12G1271	 Zm00001d028854
OG0000009	Gh_D12G1271	 Zm00001d028842
OG0000009	Gh_D12G1271	 Zm00001d047671
OG0000009	Gh_D12G1271	 Zm00001d009090
OG0000009	Gh_D12G1271	 Zm00001d040621
OG0000010	Gh_D10G1942	Zm00001d003070
OG0000010	Gh_D10G1942	 Zm00001d002039
OG0000010	 Gh_D10G1943	Zm00001d003070
OG0000010	 Gh_D10G1943	 Zm00001d002039
OG0000010	 Gh_A10G1683	Zm00001d003070
OG0000010	 Gh_A10G1683	 Zm00001d002039
OG0000010	 Gh_D10G1952	Zm00001d003070
OG0000010	 Gh_D10G1952	 Zm00001d002039
OG0000010	 Gh_D10G1951	Zm00001d003070
OG0000010	 Gh_D10G1951	 Zm00001d002039
OG0000010	 Gh_D10G1944	Zm00001d003070
OG0000010	 Gh_D10G1944	 Zm00001d002039
OG0000010	 Gh_D10G1949	Zm00001d003070
OG0000010	 Gh_D10G1949	 Zm00001d002039
OG0000010	 Gh_A10G1639	Zm00001d003070
OG0000010	 Gh_A10G1639	 Zm00001d002039
OG0000010	 Gh_D10G1893	Zm00001d003070
OG0000010	 Gh_D10G1893	 Zm00001d002039
OG0000010	 Gh_D11G2175	Zm00001d003070
OG0000010	 Gh_D11G2175	 Zm00001d002039
OG0000010	 Gh_A11G1306	Zm00001d003070
OG0000010	 Gh_A11G1306	 Zm00001d002039
OG0000010	 Gh_D11G1454	Zm00001d003070
OG0000010	 Gh_D11G1454	 Zm00001d002039
OG0000010	 Gh_A09G0176	Zm00001d003070
OG0000010	 Gh_A09G0176	 Zm00001d002039
OG0000011	Gh_A04G1291	Zm00001d024479
OG0000011	 Gh_Sca137354G01	Zm00001d024479
OG0000011	 Gh_A04G1292	Zm00001d024479
OG0000011	 Gh_D11G2894	Zm00001d024479
OG0000012	Gh_A08G1699	Zm00001d032747
OG0000012	Gh_A08G1699	 Zm00001d014063
OG0000012	Gh_A08G1699	 Zm00001d032745
OG0000012	 Gh_D11G1367	Zm00001d032747
OG0000012	 Gh_D11G1367	 Zm00001d014063
OG0000012	 Gh_D11G1367	 Zm00001d032745
OG0000012	 Gh_A11G1221	Zm00001d032747
OG0000012	 Gh_A11G1221	 Zm00001d014063
OG0000012	 Gh_A11G1221	 Zm00001d032745
OG0000012	Gh_A06G0295	Zm00001d002712
OG0000012	 Gh_A10G1688	Zm00001d002712
OG0000012	 Gh_D10G1957	Zm00001d002712
OG0000012	 Gh_D10G1947	Zm00001d002712
OG0000014	Gh_A11G3246	Zm00001d049439
OG0000014	 Gh_D11G2481	Zm00001d049439
OG0000014	 Gh_D11G2494	Zm00001d049439
OG0000014	Gh_D11G2482	Zm00001d053249
OG0000014	 Gh_D11G2486	Zm00001d053249
OG0000014	 Gh_D11G2484	Zm00001d053249
OG0000014	 Gh_A11G3247	Zm00001d053249
OG0000014	 Gh_A11G2187	Zm00001d053249
OG0000014	 Gh_A11G2195	Zm00001d053249
OG0000014	 Gh_D11G2493	Zm00001d053249
OG0000014	 Gh_A07G1256	Zm00001d053249
OG0000014	 Gh_D07G1366	Zm00001d053249
OG0000014	 Gh_D11G2483	Zm00001d053249
OG0000014	 Gh_D11G2488	Zm00001d053249
OG0000014	 Gh_D11G2487	Zm00001d053249
OG0000014	 Gh_D11G2485	Zm00001d053249
OG0000014	 Gh_A11G2185	Zm00001d053249
OG0000014	 Gh_A11G2192	Zm00001d053249
OG0000014	 Gh_A11G2189	Zm00001d053249
OG0000014	 Gh_D11G2492	Zm00001d053249
OG0000014	 Gh_D11G2490	Zm00001d053249
OG0000014	 Gh_D07G1367	Zm00001d053249
OG0000014	 Gh_A07G1257	Zm00001d053249
OG0000014	 Gh_D11G2496	Zm00001d053249
OG0000014	 Gh_A11G2199	Zm00001d053249
OG0000014	 Gh_Sca007146G01	Zm00001d053249
OG0000014	 Gh_D13G1771	Zm00001d053249
OG0000014	 Gh_A13G1428	Zm00001d053249
OG0000014	 Gh_A11G2188	Zm00001d053249
OG0000014	 Gh_D11G3413	Zm00001d053249
OG0000014	 Gh_D11G2491	Zm00001d053249
OG0000014	 Gh_A11G2182	Zm00001d053249
OG0000014	 Gh_D11G2478	Zm00001d053249
OG0000014	 Gh_D13G1770	Zm00001d053249
OG0000014	 Gh_D13G1779	Zm00001d053249
OG0000014	 Gh_D13G1775	Zm00001d053249
OG0000014	 Gh_D13G2484	Zm00001d053249
OG0000014	 Gh_D13G1767	Zm00001d053249
OG0000014	 Gh_A13G1432	Zm00001d053249
OG0000014	 Gh_A11G2183	Zm00001d053249
OG0000016	Gh_D12G1422	Zm00001d007485
OG0000016	Gh_D12G1422	 Zm00001d044654
OG0000016	Gh_D12G1422	 Zm00001d044655
OG0000016	Gh_D12G1422	 Zm00001d039567
OG0000016	Gh_D12G1422	 Zm00001d035133
OG0000016	Gh_D12G1422	 Zm00001d006117
OG0000016	 Gh_D12G0464	Zm00001d007485
OG0000016	 Gh_D12G0464	 Zm00001d044654
OG0000016	 Gh_D12G0464	 Zm00001d044655
OG0000016	 Gh_D12G0464	 Zm00001d039567
OG0000016	 Gh_D12G0464	 Zm00001d035133
OG0000016	 Gh_D12G0464	 Zm00001d006117
OG0000016	 Gh_A12G0462	Zm00001d007485
OG0000016	 Gh_A12G0462	 Zm00001d044654
OG0000016	 Gh_A12G0462	 Zm00001d044655
OG0000016	 Gh_A12G0462	 Zm00001d039567
OG0000016	 Gh_A12G0462	 Zm00001d035133
OG0000016	 Gh_A12G0462	 Zm00001d006117
OG0000017	Gh_D13G0889	Zm00001d033516
OG0000017	Gh_D13G0889	 Zm00001d033514
OG0000017	Gh_D13G0889	 Zm00001d042123
OG0000017	Gh_D13G0889	 Zm00001d042122
OG0000017	Gh_D13G0889	 Zm00001d042125
OG0000017	 Gh_A11G2105	Zm00001d033516
OG0000017	 Gh_A11G2105	 Zm00001d033514
OG0000017	 Gh_A11G2105	 Zm00001d042123
OG0000017	 Gh_A11G2105	 Zm00001d042122
OG0000017	 Gh_A11G2105	 Zm00001d042125
OG0000017	 Gh_Sca085967G01	Zm00001d033516
OG0000017	 Gh_Sca085967G01	 Zm00001d033514
OG0000017	 Gh_Sca085967G01	 Zm00001d042123
OG0000017	 Gh_Sca085967G01	 Zm00001d042122
OG0000017	 Gh_Sca085967G01	 Zm00001d042125
OG0000017	 Gh_D11G2388	Zm00001d033516
OG0000017	 Gh_D11G2388	 Zm00001d033514
OG0000017	 Gh_D11G2388	 Zm00001d042123
OG0000017	 Gh_D11G2388	 Zm00001d042122
OG0000017	 Gh_D11G2388	 Zm00001d042125
OG0000017	 Gh_A11G2104	Zm00001d033516
OG0000017	 Gh_A11G2104	 Zm00001d033514
OG0000017	 Gh_A11G2104	 Zm00001d042123
OG0000017	 Gh_A11G2104	 Zm00001d042122
OG0000017	 Gh_A11G2104	 Zm00001d042125
OG0000017	 Gh_D04G1051	Zm00001d033516
OG0000017	 Gh_D04G1051	 Zm00001d033514
OG0000017	 Gh_D04G1051	 Zm00001d042123
OG0000017	 Gh_D04G1051	 Zm00001d042122
OG0000017	 Gh_D04G1051	 Zm00001d042125
OG0000017	 Gh_D11G2387	Zm00001d033516
OG0000017	 Gh_D11G2387	 Zm00001d033514
OG0000017	 Gh_D11G2387	 Zm00001d042123
OG0000017	 Gh_D11G2387	 Zm00001d042122
OG0000017	 Gh_D11G2387	 Zm00001d042125
OG0000017	 Gh_A11G2055	Zm00001d033516
OG0000017	 Gh_A11G2055	 Zm00001d033514
OG0000017	 Gh_A11G2055	 Zm00001d042123
OG0000017	 Gh_A11G2055	 Zm00001d042122
OG0000017	 Gh_A11G2055	 Zm00001d042125
OG0000017	 Gh_D11G2360	Zm00001d033516
OG0000017	 Gh_D11G2360	 Zm00001d033514
OG0000017	 Gh_D11G2360	 Zm00001d042123
OG0000017	 Gh_D11G2360	 Zm00001d042122
OG0000017	 Gh_D11G2360	 Zm00001d042125
OG0000017	 Gh_A11G2052	Zm00001d033516
OG0000017	 Gh_A11G2052	 Zm00001d033514
OG0000017	 Gh_A11G2052	 Zm00001d042123
OG0000017	 Gh_A11G2052	 Zm00001d042122
OG0000017	 Gh_A11G2052	 Zm00001d042125
OG0000017	 Gh_D11G2358	Zm00001d033516
OG0000017	 Gh_D11G2358	 Zm00001d033514
OG0000017	 Gh_D11G2358	 Zm00001d042123
OG0000017	 Gh_D11G2358	 Zm00001d042122
OG0000017	 Gh_D11G2358	 Zm00001d042125
OG0000017	 Gh_D11G2357	Zm00001d033516
OG0000017	 Gh_D11G2357	 Zm00001d033514
OG0000017	 Gh_D11G2357	 Zm00001d042123
OG0000017	 Gh_D11G2357	 Zm00001d042122
OG0000017	 Gh_D11G2357	 Zm00001d042125
OG0000017	 Gh_A05G2433	Zm00001d033516
OG0000017	 Gh_A05G2433	 Zm00001d033514
OG0000017	 Gh_A05G2433	 Zm00001d042123
OG0000017	 Gh_A05G2433	 Zm00001d042122
OG0000017	 Gh_A05G2433	 Zm00001d042125
OG0000017	 Gh_Sca012190G01	Zm00001d033516
OG0000017	 Gh_Sca012190G01	 Zm00001d033514
OG0000017	 Gh_Sca012190G01	 Zm00001d042123
OG0000017	 Gh_Sca012190G01	 Zm00001d042122
OG0000017	 Gh_Sca012190G01	 Zm00001d042125
OG0000017	 Gh_D05G2698	Zm00001d033516
OG0000017	 Gh_D05G2698	 Zm00001d033514
OG0000017	 Gh_D05G2698	 Zm00001d042123
