NBI_Gossypium_hirsutum_v1.1	Zea_mays.B73_RefGen_v4_OMA	OMA_mapping	OMA_groups
Gh_D11G1856	Zm00001d041900	1:m	1040945
Gh_D02G1975	Zm00001d018555	1:m	1040914
Gh_D02G1017	Zm00001d010248	1:m	1040899
Gh_D04G0589	Zm00001d025240	n:m	1040870
Gh_D04G0588	Zm00001d003947	n:m	1040868
Gh_D10G2125	Zm00001d000373	n:m	1040861
Gh_D09G2390	Zm00001d024051	n:m	1040817
Gh_A10G1601	Zm00001d000377	n:m	1040808
Gh_A01G2126	Zm00001d044103	n:m	1040799
Gh_A09G2184	Zm00001d041112	n:m	1040794
Gh_A13G0108	Zm00001d052108	n:m	1040787
Gh_A05G2360	Zm00001d035034	1:m	1040785
Gh_D10G1856	Zm00001d026584	n:m	1040784
Gh_D13G0125	Zm00001d018277	n:m	1040778
Gh_D09G0404	Zm00001d027363	1:m	1040764
Gh_A06G0640	Zm00001d011705	n:m	1040711
Gh_A05G0222	Zm00001d043682	n:m	1040707
Gh_D01G0022	Zm00001d022614	1:m	1040705
Gh_A13G0106	Zm00001d033247	n:m	1040704
Gh_A05G2162	Zm00001d050501	n:m	1040703
Gh_D13G0122	Zm00001d033248	n:m	1040702
Gh_D07G0109	Zm00001d010850	n:1	1040701
Gh_D08G0371	Zm00001d008976	1:m	1040691
Gh_D06G2178	Zm00001d013683	n:m	1040631
Gh_A10G1694	Zm00001d032587	1:m	1040630
Gh_D04G1949	Zm00001d035960	1:m	1040629
Gh_D01G0297	GRMZM5G877454	1:01	1040628
Gh_D04G0998	Zm00001d004119	n:m	1040619
Gh_A09G0221	Zm00001d044315	1:m	1040606
Gh_D05G0284	Zm00001d047262	1:m	1040599
Gh_A07G0875	Zm00001d039299	n:m	1040556
Gh_D05G0952	Zm00001d009000	n:m	1040555
Gh_A10G1578	Zm00001d038855	1:m	1040469
Gh_A12G2214	Zm00001d013887	1:m	1040395
Gh_D06G0578	Zm00001d039596	1:m	1040393
Gh_D07G1267	Zm00001d020424	1:m	1040392
Gh_D12G2148	Zm00001d006382	1:m	1040388
Gh_A12G2334	Zm00001d026647	1:m	1040387
Gh_A09G0451	Zm00001d022028	1:m	1040386
Gh_D10G0223	Zm00001d001806	1:m	1040385
Gh_A10G1414	Zm00001d031967	n:m	1040376
Gh_D09G0819	Zm00001d049959	n:m	1040372
Gh_A05G3445	Zm00001d013006	1:m	1040306
Gh_D03G0667	Zm00001d040416	1:01	1040305
Gh_A07G0459	Zm00001d053718	1:m	1040303
Gh_D07G0493	Zm00001d031640	n:m	1040248
Gh_D12G2761	Zm00001d021061	n:m	1040247
Gh_A11G0345	Zm00001d006100	n:m	1040245
Gh_D01G1279	Zm00001d039578	1:m	1040220
Gh_D05G1529	Zm00001d032420	1:m	1040119
Gh_A03G0604	Zm00001d034550	n:m	1040117
Gh_D09G1072	Zm00001d013034	n:m	1040116
Gh_A11G0298	Zm00001d019147	n:m	1040113
Gh_D12G0199	Zm00001d002051	n:m	1039999
Gh_D13G0423	Zm00001d026472	n:m	1039970
Gh_D01G1644	Zm00001d014919	1:m	1039968
Gh_A07G2247	Zm00001d024906	n:m	1039954
Gh_D07G2235	Zm00001d006877	n:m	1039950
Gh_A03G2001	Zm00001d018790	n:m	1039940
Gh_A05G0690	Zm00001d005489	1:m	1039939
Gh_D07G1457	Zm00001d008883	n:m	1039938
Gh_A07G2014	Zm00001d045965	n:m	1039931
Gh_A05G3841	Zm00001d008993	1:m	1039928
Gh_A09G0172	Zm00001d039422	1:m	1039821
Gh_D01G0437	Zm00001d011192	n:1	1039814
Gh_D08G2115	Zm00001d004936	1:m	1039807
Gh_D05G1941	Zm00001d043307	n:m	1039789
Gh_D06G0146	Zm00001d012647	n:m	1039783
Gh_D01G1937	Zm00001d025745	1:m	1039757
Gh_D11G1280	Zm00001d049694	n:m	1039756
Gh_A08G1849	Zm00001d004410	n:1	1039746
Gh_A09G1539	Zm00001d036013	n:m	1039734
Gh_D09G1558	Zm00001d045505	n:m	1039733
Gh_D13G1261	Zm00001d029088	1:01	1039711
Gh_D07G1246	Zm00001d029084	1:m	1039705
Gh_D09G2197	Zm00001d053960	n:m	1039645
Gh_A05G2655	Zm00001d049409	1:m	1039642
Gh_D09G0576	Zm00001d015088	n:m	1039641
Gh_A02G1758	Zm00001d015929	1:m	1039636
Gh_A05G3226	Zm00001d043494	1:01	1039635
Gh_D11G2041	Zm00001d021931	n:m	1039626
Gh_A09G0919	Zm00001d053968	n:m	1039622
Gh_D05G0802	Zm00001d015120	n:m	1039620
Gh_A11G1934	Zm00001d006680	n:m	1039618
Gh_A13G2225	GRMZM5G844074	1:m	1039594
Gh_D07G1194	Zm00001d005614	1:m	1039567
Gh_D12G0096	Zm00001d010867	1:m	1039564
Gh_A07G0355	Zm00001d002834	1:m	1039557
Gh_A05G3766	Zm00001d013915	n:m	1039540
Gh_A01G1033	Zm00001d026405	n:m	1039538
Gh_D05G3825	Zm00001d032532	n:m	1039531
Gh_D09G1487	Zm00001d028662	1:m	1039525
Gh_D13G1546	Zm00001d043449	1:m	1039519
Gh_D11G2210	Zm00001d045455	n:m	1039517
Gh_A02G1268	Zm00001d048201	n:m	1039503
Gh_A11G1830	Zm00001d028180	n:m	1039501
Gh_A05G0569	Zm00001d027872	1:m	1039481
Gh_A07G0600	Zm00001d028786	n:m	1039467
Gh_D11G0044	Zm00001d042323	n:m	1039465
Gh_D09G0486	Zm00001d047707	n:m	1039463
Gh_A12G0030	Zm00001d038128	1:m	1039439
Gh_A06G2026	Zm00001d034139	n:m	1039436
Gh_D06G2137	Zm00001d028201	n:m	1039432
Gh_A05G1242	Zm00001d018812	1:m	1039423
Gh_D07G2189	Zm00001d047039	n:m	1039414
Gh_D09G2488	Zm00001d030040	n:m	1039413
Gh_D01G2220	Zm00001d037992	n:m	1039352
Gh_A11G1433	Zm00001d049627	1:m	1039350
Gh_A09G2430	Zm00001d010500	n:m	1039349
Gh_A11G1770	Zm00001d018146	1:m	1039348
Gh_D05G0486	Zm00001d038805	1:m	1039328
Gh_A05G2262	Zm00001d028450	1:m	1039322
Gh_Sca066383G01	GRMZM5G890451	1:01	1039285
Gh_A03G1480	Zm00001d012656	n:m	1039240
Gh_D13G0665	Zm00001d003462	1:m	1039239
Gh_A04G0310	Zm00001d039264	1:m	1039165
Gh_A06G0857	Zm00001d016006	1:m	1039156
Gh_A11G1912	Zm00001d029848	1:m	1039151
Gh_D12G0669	Zm00001d034777	n:m	1039119
Gh_D11G1944	Zm00001d025412	n:m	1039116
Gh_A05G1969	Zm00001d050284	1:m	1039089
Gh_D09G1126	Zm00001d052423	1:m	1039066
Gh_A12G0355	Zm00001d053909	1:m	1038997
Gh_A10G0608	Zm00001d034804	1:m	1038945
Gh_D05G3186	Zm00001d034318	1:m	1038925
Gh_D06G1919	Zm00001d053872	1:m	1038889
Gh_A11G1664	GRMZM5G892247	1:01	1038877
Gh_D03G0635	Zm00001d029055	1:m	1038876
Gh_A11G1580	Zm00001d024583	1:m	1038875
Gh_D03G1277	Zm00001d003203	1:m	1038874
Gh_D05G2647	Zm00001d010614	n:m	1038852
Gh_A06G1581	Zm00001d012992	n:m	1038849
Gh_Sca123729G01	Zm00001d021885	1:01	1038729
Gh_A03G1540	Zm00001d052796	1:m	1038716
Gh_D05G2153	Zm00001d007446	1:01	1038692
Gh_A08G1688	Zm00001d007214	1:m	1038652
Gh_A08G0145	Zm00001d046587	1:m	1038644
Gh_D13G0600	Zm00001d036135	1:m	1038615
Gh_A10G1595	Zm00001d037859	n:m	1038603
Gh_A05G2383	Zm00001d009990	n:m	1038602
Gh_A12G1697	Zm00001d024704	1:m	1038566
Gh_A11G1613	Zm00001d021318	1:m	1038563
Gh_D09G1206	Zm00001d023836	n:m	1038504
Gh_A09G1200	Zm00001d023863	n:m	1038503
Gh_D13G0263	Zm00001d013223	1:m	1038455
Gh_D02G2129	Zm00001d042661	n:m	1038423
Gh_D05G3808	Zm00001d012247	n:m	1038403
Gh_A09G1843	Zm00001d049234	1:m	1038402
Gh_D10G2580	Zm00001d022205	1:01	1038377
Gh_D11G0761	Zm00001d013245	n:m	1038346
Gh_A11G0650	Zm00001d034072	n:m	1038327
Gh_D09G2215	Zm00001d006287	n:m	1038295
Gh_D10G0843	Zm00001d011445	1:m	1038274
Gh_A10G0672	Zm00001d022337	1:m	1038272
Gh_D12G0896	Zm00001d009690	1:m	1038197
Gh_A07G1652	Zm00001d036359	1:m	1038186
Gh_A07G0579	Zm00001d048324	n:m	1038157
Gh_D07G2306	Zm00001d021050	1:m	1038154
Gh_A12G1582	Zm00001d013799	n:m	1038081
Gh_A03G1117	Zm00001d035168	n:m	1038051
Gh_A07G0461	Zm00001d024048	1:m	1038031
Gh_A12G0085	Zm00001d039675	1:01	1038019
Gh_D05G3607	Zm00001d035337	1:m	1037998
Gh_A03G1807	Zm00001d047941	n:m	1037976
Gh_D03G0079	Zm00001d028396	n:m	1037974
Gh_A06G1788	Zm00001d002585	n:m	1037913
Gh_D12G1211	Zm00001d053196	n:m	1037910
Gh_D12G2443	Zm00001d018870	1:m	1037909
Gh_A03G2013	Zm00001d028424	1:m	1037877
Gh_D02G1485	Zm00001d038927	1:m	1037832
Gh_D03G1851	Zm00001d048834	1:m	1037814
Gh_D06G0002	Zm00001d041778	n:m	1037738
Gh_D05G0275	Zm00001d050256	1:m	1037730
Gh_A03G1492	Zm00001d034337	n:m	1037728
Gh_A06G0046	Zm00001d007270	n:m	1037727
Gh_D11G3490	Zm00001d043827	1:m	1037690
Gh_A06G0350	Zm00001d042025	1:m	1037667
Gh_D10G0212	Zm00001d041698	n:m	1037656
Gh_A10G0233	Zm00001d023885	n:m	1037655
Gh_D02G0746	Zm00001d035014	1:m	1037566
Gh_D10G0782	Zm00001d025599	n:m	1037550
Gh_A07G2148	Zm00001d025593	n:m	1037492
Gh_D11G0689	Zm00001d051001	n:m	1037473
Gh_D11G2927	Zm00001d053798	n:m	1037470
Gh_D05G1700	Zm00001d027488	1:m	1037459
Gh_D07G2359	Zm00001d003429	n:m	1037458
Gh_A11G2619	Zm00001d015383	n:m	1037453
Gh_D03G0940	Zm00001d017914	1:m	1037430
Gh_D06G0535	Zm00001d047958	n:m	1037429
Gh_A06G0481	Zm00001d028384	n:m	1037427
Gh_A05G2078	Zm00001d043404	1:01	1037342
Gh_D02G2431	Zm00001d013729	1:m	1037323
Gh_A13G0440	Zm00001d013317	1:m	1037268
Gh_D11G3143	Zm00001d039319	1:m	1037243
Gh_D08G0169	Zm00001d007639	1:m	1037241
Gh_D02G0305	Zm00001d031929	n:m	1037217
Gh_A08G2520	Zm00001d013013	1:m	1037197
Gh_A08G0882	Zm00001d017522	1:m	1037177
Gh_Sca004857G05	Zm00001d029333	n:1	1037167
Gh_D07G1206	Zm00001d017656	1:m	1037155
Gh_A10G1588	Zm00001d037856	1:m	1037121
Gh_D06G1585	Zm00001d053813	1:m	1037097
Gh_A10G1785	Zm00001d029248	1:01	1037054
Gh_D02G0615	Zm00001d047581	1:m	1037020
Gh_A09G1223	Zm00001d019108	1:m	1037019
Gh_D04G1204	Zm00001d038358	n:m	1036993
Gh_D01G2158	Zm00001d012391	n:m	1036989
Gh_A07G0741	Zm00001d015356	n:m	1036955
Gh_D01G2047	Zm00001d033619	n:m	1036927
Gh_A01G1808	Zm00001d027871	n:m	1036926
Gh_D09G0433	Zm00001d003672	n:m	1036900
Gh_D03G1420	Zm00001d048305	n:m	1036896
Gh_A09G2512	Zm00001d025413	n:m	1036894
Gh_A05G3915	Zm00001d014585	1:m	1036848
Gh_D06G0028	Zm00001d032968	1:m	1036834
Gh_D10G1507	Zm00001d007810	n:m	1036804
Gh_D09G2158	Zm00001d018979	n:m	1036803
Gh_D02G0407	Zm00001d007815	n:m	1036802
Gh_A10G1019	Zm00001d007819	n:m	1036801
Gh_D04G1920	Zm00001d037264	1:01	1036747
Gh_A10G1867	Zm00001d037553	1:m	1036734
Gh_D05G0661	Zm00001d002027	1:m	1036714
Gh_D06G0125	Zm00001d008284	1:m	1036713
Gh_D05G1245	Zm00001d026697	n:m	1036692
Gh_A05G2400	Zm00001d032139	n:m	1036674
Gh_A13G0744	Zm00001d029525	n:m	1036627
Gh_A12G2239	Zm00001d006185	n:m	1036610
Gh_D13G0868	Zm00001d022077	n:m	1036609
Gh_A07G0410	Zm00001d022115	1:m	1036577
Gh_A01G0351	Zm00001d010744	1:m	1036445
Gh_A05G3092	Zm00001d035698	1:m	1036420
Gh_A09G1121	Zm00001d022265	n:m	1036419
Gh_D09G1125	Zm00001d008327	n:m	1036417
Gh_A03G1794	Zm00001d006227	1:m	1036376
Gh_D06G1269	Zm00001d048320	n:m	1036361
Gh_A02G0908	Zm00001d027845	n:m	1036360
Gh_D05G3143	Zm00001d053686	n:m	1036329
Gh_A05G2839	Zm00001d041267	n:m	1036328
Gh_D11G1422	Zm00001d013252	n:m	1036297
Gh_D10G0874	Zm00001d025062	1:m	1036247
Gh_D07G0642	Zm00001d020438	1:m	1036245
Gh_A02G1585	Zm00001d007454	1:m	1036188
Gh_A05G0285	Zm00001d027886	1:m	1036032
Gh_A05G2192	Zm00001d000240	n:m	1036000
Gh_D01G0963	Zm00001d010711	n:m	1035997
Gh_D05G3000	Zm00001d023801	1:m	1035923
Gh_D06G1284	Zm00001d040357	1:m	1035908
Gh_A08G2168	Zm00001d010835	n:m	1035886
Gh_D08G2534	Zm00001d037538	n:m	1035884
Gh_A09G0052	Zm00001d018544	1:m	1035841
Gh_D02G0423	Zm00001d008892	n:m	1035562
Gh_D01G0229	Zm00001d039408	n:m	1035513
Gh_A11G0704	Zm00001d029860	1:m	1035476
Gh_D11G1599	Zm00001d043490	1:m	1035463
Gh_A01G0181	Zm00001d038755	n:m	1035440
Gh_A10G2082	Zm00001d046456	1:m	1035439
Gh_A12G1950	Zm00001d017459	n:m	1035424
Gh_A01G0450	Zm00001d012590	1:m	1035423
Gh_D13G1629	Zm00001d011971	1:m	1035422
Gh_A08G2149	Zm00001d053308	1:m	1035421
Gh_A02G0784	Zm00001d028909	1:m	1035420
Gh_A08G0800	Zm00001d021132	n:m	1035418
Gh_A09G0607	Zm00001d009182	1:m	1035417
Gh_A10G1545	Zm00001d006788	1:m	1035249
Gh_D01G2339	Zm00001d020057	n:m	1035225
Gh_A13G1279	Zm00001d012702	n:m	1035224
Gh_D12G1702	Zm00001d040129	1:m	1035219
Gh_D12G0016	Zm00001d028362	1:m	1035139
Gh_D01G0817	Zm00001d005403	1:m	1035103
Gh_D01G1922	Zm00001d007638	n:m	1035067
Gh_D06G0073	Zm00001d038620	n:m	1035062
Gh_D13G0458	Zm00001d043267	n:m	1035053
Gh_D09G1169	Zm00001d048766	n:m	1035052
Gh_A01G0633	Zm00001d030951	1:m	1035046
Gh_D04G1372	Zm00001d042282	n:m	1035005
Gh_A04G0871	Zm00001d011965	n:m	1035004
Gh_A08G2490	Zm00001d031323	n:m	1034915
Gh_A04G0763	Zm00001d026517	n:m	1034914
Gh_A01G1953	Zm00001d001966	n:m	1034912
Gh_A08G0328	Zm00001d039182	n:m	1034817
Gh_A07G1587	Zm00001d044412	n:m	1034815
Gh_A09G0404	Zm00001d044251	1:m	1034799
Gh_A05G2410	Zm00001d033046	n:m	1034728
Gh_D08G0416	Zm00001d013692	n:m	1034726
Gh_D05G2678	Zm00001d014246	n:m	1034722
Gh_D06G2092	Zm00001d041758	1:m	1034721
Gh_A13G1678	Zm00001d049042	1:m	1034720
Gh_D10G1446	Zm00001d009264	1:m	1034656
Gh_A03G0641	Zm00001d019852	1:m	1034567
Gh_A01G1122	Zm00001d007502	n:m	1034493
Gh_A01G1557	Zm00001d012868	1:m	1034490
Gh_D07G1725	Zm00001d008269	n:m	1034488
Gh_D04G1530	Zm00001d029596	1:m	1034484
Gh_A07G1557	Zm00001d040408	n:m	1034482
Gh_D01G1197	Zm00001d052932	n:m	1034481
Gh_A02G1581	Zm00001d015329	1:m	1034480
Gh_A09G0796	Zm00001d011266	n:m	1034444
Gh_A05G0982	Zm00001d024624	n:m	1034397
Gh_D05G1093	Zm00001d049579	n:m	1034392
Gh_D09G0995	Zm00001d033647	1:m	1034391
Gh_A06G0826	Zm00001d043508	1:m	1034390
Gh_D12G1991	Zm00001d007197	1:01	1034369
Gh_D12G1739	Zm00001d018057	1:m	1034368
Gh_A06G1308	Zm00001d006467	n:m	1034326
Gh_D06G1636	Zm00001d021596	n:m	1034322
Gh_D03G0574	Zm00001d008871	1:m	1034295
Gh_D06G1054	Zm00001d003108	n:m	1034261
Gh_A04G1036	Zm00001d031326	1:01	1034241
Gh_A03G1266	Zm00001d052289	n:m	1034156
